"c" "over_count" "over_ratio" "nweeks_reporting"
"81" "89fda0284e008d2e0c980fb13f9978cb" "11" "0.0497737556561086" "221"
"82" "89fda0284e008d2e0c980fb13f972945" "6" "0.0120724346076459" "497"
"83" "89fda0284e008d2e0c980fb13f96e561" "0" "0" "210"
"84" "89fda0284e008d2e0c980fb13f975e5c" "2" "0.00386847195357834" "517"
"85" "89fda0284e008d2e0c980fb13f95f7a6" "33" "0.0281090289608177" "1174"
"86" "70c6ba6f55ed21716fe725c214692ffd" "9" "0.0134128166915052" "671"
"87" "89fda0284e008d2e0c980fb13f989136" "49" "0.057919621749409" "846"
"88" "89fda0284e008d2e0c980fb13f969126" "60" "0.0574162679425837" "1045"
"89" "89fda0284e008d2e0c980fb13f97bafa" "34" "0.0292598967297762" "1162"
"90" "89fda0284e008d2e0c980fb13f9a6042" "35" "0.040650406504065" "861"
"91" "70c6ba6f55ed21716fe725c2146903eb" "16" "0.139130434782609" "115"
"92" "89fda0284e008d2e0c980fb13f98736b" "19" "0.0160744500846024" "1182"
"93" "89fda0284e008d2e0c980fb13f955485" "74" "0.100271002710027" "738"
"94" "89fda0284e008d2e0c980fb13f9735c8" "4" "0.0062015503875969" "645"
"95" "70c6ba6f55ed21716fe725c2146966b6" "5" "0.0442477876106195" "113"
"96" "89fda0284e008d2e0c980fb13f97d834" "26" "0.0323383084577114" "804"
"97" "89fda0284e008d2e0c980fb13f9b5439" "14" "0.0167865707434053" "834"
"98" "89fda0284e008d2e0c980fb13f97583c" "3" "0.00425531914893617" "705"
"99" "89fda0284e008d2e0c980fb13f97ae9f" "2" "0.00408997955010225" "489"
"100" "89fda0284e008d2e0c980fb13f98f9d5" "0" "0" "369"
"101" "fcd13ae716841026ee760704bb0d92e5" "2" "0.0116959064327485" "171"
"102" "89fda0284e008d2e0c980fb13f966281" "40" "0.0555555555555556" "720"
"103" "89fda0284e008d2e0c980fb13f992e2c" "19" "0.0375494071146245" "506"
"104" "89fda0284e008d2e0c980fb13f99f651" "1" "0.0023094688221709" "433"
"105" "89fda0284e008d2e0c980fb13f9a7b0c" "41" "0.0345699831365936" "1186"
"106" "89fda0284e008d2e0c980fb13f996b98" "55" "0.0494604316546763" "1112"
"107" "89fda0284e008d2e0c980fb13f9866e8" "42" "0.0405014464802314" "1037"
"108" "89fda0284e008d2e0c980fb13f980116" "27" "0.0273279352226721" "988"
"109" "89fda0284e008d2e0c980fb13f987d0e" "4" "0.00495662949194548" "807"
"110" "89fda0284e008d2e0c980fb13f98e475" "12" "0.0297029702970297" "404"
"111" "89fda0284e008d2e0c980fb13f9a6d98" "3" "0.0136363636363636" "220"
"112" "89fda0284e008d2e0c980fb13f94f3f9" "13" "0.0472727272727273" "275"
"113" "89fda0284e008d2e0c980fb13f96554b" "37" "0.0394456289978678" "938"
"114" "89fda0284e008d2e0c980fb13f999899" "14" "0.0327868852459016" "427"
"115" "89fda0284e008d2e0c980fb13f95d481" "39" "0.0917647058823529" "425"
"116" "89fda0284e008d2e0c980fb13f983d38" "14" "0.0147991543340381" "946"
"117" "fcd13ae716841026ee760704bb0d7fee" "0" "0" "574"
"118" "89fda0284e008d2e0c980fb13f99fa39" "0" "0" "335"
"119" "89fda0284e008d2e0c980fb13f9b1c77" "25" "0.0227272727272727" "1100"
"120" "89fda0284e008d2e0c980fb13f958239" "33" "0.02882096069869" "1145"
"121" "89fda0284e008d2e0c980fb13f95f2b4" "30" "0.0327153762268266" "917"
"122" "89fda0284e008d2e0c980fb13f95e9b4" "28" "0.0348692403486924" "803"
"123" "89fda0284e008d2e0c980fb13f9b323a" "65" "0.0452961672473868" "1435"
"124" "89fda0284e008d2e0c980fb13f99e74b" "26" "0.0237010027347311" "1097"
"125" "89fda0284e008d2e0c980fb13f9b2365" "26" "0.0456140350877193" "570"
"126" "89fda0284e008d2e0c980fb13f97256b" "11" "0.0341614906832298" "322"
"127" "89fda0284e008d2e0c980fb13f967b9f" "3" "0.0107142857142857" "280"
"128" "89fda0284e008d2e0c980fb13f961f23" "60" "0.0843881856540084" "711"
"129" "89fda0284e008d2e0c980fb13f982710" "7" "0.00911458333333333" "768"
"130" "70c6ba6f55ed21716fe725c214694627" "10" "0.0255754475703325" "391"
"131" "89fda0284e008d2e0c980fb13f9b19cd" "10" "0.0434782608695652" "230"
"132" "89fda0284e008d2e0c980fb13f9a6a78" "13" "0.0210016155088853" "619"
"133" "89fda0284e008d2e0c980fb13f9ac931" "7" "0.0168269230769231" "416"
"134" "89fda0284e008d2e0c980fb13f958a63" "0" "0" "53"
"135" "89fda0284e008d2e0c980fb13f952278" "53" "0.0842607313195548" "629"
"136" "89fda0284e008d2e0c980fb13f976515" "9" "0.0290322580645161" "310"
"137" "fcd13ae716841026ee760704bb0d89b2" "40" "0.050314465408805" "795"
"138" "89fda0284e008d2e0c980fb13f99c940" "2" "0.00444444444444444" "450"
"139" "89fda0284e008d2e0c980fb13f97478a" "24" "0.0534521158129176" "449"
"140" "89fda0284e008d2e0c980fb13f956dab" "4" "0.012987012987013" "308"
"141" "89fda0284e008d2e0c980fb13f98317d" "37" "0.0660714285714286" "560"
"142" "89fda0284e008d2e0c980fb13f95300e" "25" "0.0312891113892365" "799"
"143" "89fda0284e008d2e0c980fb13f992222" "8" "0.0114285714285714" "700"
"144" "89fda0284e008d2e0c980fb13f9a5551" "25" "0.0308641975308642" "810"
"145" "89fda0284e008d2e0c980fb13f985425" "19" "0.0266106442577031" "714"
"146" "89fda0284e008d2e0c980fb13f96c45a" "33" "0.0515625" "640"
"147" "89fda0284e008d2e0c980fb13f976d3e" "25" "0.0434027777777778" "576"
"148" "89fda0284e008d2e0c980fb13f96ef9f" "2" "0.00458715596330275" "436"
"149" "70c6ba6f55ed21716fe725c214694428" "19" "0.0304" "625"
"150" "70c6ba6f55ed21716fe725c21469a1e0" "23" "0.0465587044534413" "494"
"151" "89fda0284e008d2e0c980fb13f94f406" "24" "0.0400667779632721" "599"
