"c" "over_count" "over_ratio" "nmonths_reporting"
"203" "fcd13ae716841026ee760704bb0d7ba4" "0" "0" "133"
"204" "70c6ba6f55ed21716fe725c2146982df" "8" "0.0287769784172662" "278"
"205" "89fda0284e008d2e0c980fb13f9ae796" "11" "0.026378896882494" "417"
"206" "89fda0284e008d2e0c980fb13f96bd60" "0" "0" "66"
"207" "89fda0284e008d2e0c980fb13f993d70" "0" "0" "66"
"208" "89fda0284e008d2e0c980fb13f94e6b6" "4" "0.0113960113960114" "351"
"209" "89fda0284e008d2e0c980fb13f9a4d8a" "42" "0.11965811965812" "351"
"210" "89fda0284e008d2e0c980fb13f9b3322" "51" "0.246376811594203" "207"
"211" "fcd13ae716841026ee760704bb0d92e5" "0" "0" "140"
"212" "89fda0284e008d2e0c980fb13f9a0d1f" "0" "0" "144"
"213" "fb6e0b19cbe3ef683a10c4c47669d46d" "1" "0.0138888888888889" "72"
"214" "89fda0284e008d2e0c980fb13f96fddb" "0" "0" "211"
"215" "89fda0284e008d2e0c980fb13f96a690" "0" "0" "209"
"216" "70c6ba6f55ed21716fe725c214691571" "2" "0.00711743772241993" "281"
"217" "89fda0284e008d2e0c980fb13f9859d8" "1" "0.00478468899521531" "209"
"218" "70c6ba6f55ed21716fe725c2146972eb" "2" "0.00956937799043062" "209"
"219" "89fda0284e008d2e0c980fb13f96de63" "1" "0.00478468899521531" "209"
"220" "89fda0284e008d2e0c980fb13f9a2e6b" "21" "0.100478468899522" "209"
"221" "89fda0284e008d2e0c980fb13f96b252" "0" "0" "72"
"222" "89fda0284e008d2e0c980fb13f97710a" "0" "0" "72"
"223" "fb6e0b19cbe3ef683a10c4c47669d0ce" "2" "0.00956937799043062" "209"
"224" "89fda0284e008d2e0c980fb13f9b05d4" "3" "0.0416666666666667" "72"
"225" "fb6e0b19cbe3ef683a10c4c47669bc70" "0" "0" "142"
"226" "89fda0284e008d2e0c980fb13f959c0a" "5" "0.0364963503649635" "137"
"227" "89fda0284e008d2e0c980fb13f9a1c42" "2" "0.0145985401459854" "137"
"228" "89fda0284e008d2e0c980fb13f9a06a3" "0" "0" "70"
"229" "89fda0284e008d2e0c980fb13f9a052b" "0" "0" "70"
"230" "89fda0284e008d2e0c980fb13f98fd43" "2" "0.0298507462686567" "67"
"231" "89fda0284e008d2e0c980fb13f98230b" "0" "0" "67"
