"chw" "aggregate_count" "aggregate_percent" "total_count" "total_percent"
"42" "89fda0284e008d2e0c980fb13f994cf8" 61 0.0599803343166175 2 0.0273972602739726
"43" "89fda0284e008d2e0c980fb13f9623b3" 24 0.0286396181384248 0 0
"44" "89fda0284e008d2e0c980fb13f978e69" 9 0.0292207792207792 0 0
"45" "89fda0284e008d2e0c980fb13f96807a" 59 0.0397574123989218 4 0.0547945205479452
"46" "89fda0284e008d2e0c980fb13f953df5" 55 0.0701530612244898 1 0.0136986301369863
"47" "89fda0284e008d2e0c980fb13f9b3f75" 31 0.0254098360655738 0 0
"48" "89fda0284e008d2e0c980fb13f9509fd" 11 0.0156695156695157 0 0
"49" "89fda0284e008d2e0c980fb13f9992a6" 30 0.0323624595469256 1 0.0136986301369863
"50" "89fda0284e008d2e0c980fb13f978578" 1 0.00182481751824818 0 0
"51" "89fda0284e008d2e0c980fb13f9a51a9" 40 0.0554785020804438 2 0.0273972602739726
"52" "89fda0284e008d2e0c980fb13f9628e2" 74 0.0524822695035461 1 0.0136986301369863
"53" "89fda0284e008d2e0c980fb13f9899b3" 2 0.00743494423791822 0 0
"54" "89fda0284e008d2e0c980fb13f960194" 7 0.00954979536152797 1 0.0136986301369863
"55" "fcd13ae716841026ee760704bb0d89a7" 0 0 0 0
"56" "89fda0284e008d2e0c980fb13f956856" 10 0.0308641975308642 0 0
"57" "89fda0284e008d2e0c980fb13f999c89" 12 0.0180995475113122 0 0
"58" "89fda0284e008d2e0c980fb13f9afb45" 3 0.0267857142857143 0 0
"59" "89fda0284e008d2e0c980fb13f9ad060" 44 0.0471596998928189 2 0.0273972602739726
"60" "89fda0284e008d2e0c980fb13f96442a" 21 0.0254237288135593 1 0.0136986301369863
"61" "fcd13ae716841026ee760704bb0d99ee" 33 0.0253067484662577 1 0.0136986301369863
"62" "fcd13ae716841026ee760704bb0da4a8" 7 0.0125 0 0
"63" "89fda0284e008d2e0c980fb13f966efc" 25 0.0253807106598985 4 0.0547945205479452
"64" "89fda0284e008d2e0c980fb13f970c18" 13 0.027027027027027 5 0.0684931506849315
"65" "89fda0284e008d2e0c980fb13f95477d" 9 0.00979325353645267 0 0
"66" "89fda0284e008d2e0c980fb13f99886e" 4 0.0268456375838926 0 0
"67" "89fda0284e008d2e0c980fb13f978216" 17 0.0181818181818182 4 0.0547945205479452
"68" "89fda0284e008d2e0c980fb13f964b7e" 29 0.0240066225165563 3 0.0410958904109589
"69" "89fda0284e008d2e0c980fb13f97dff4" 51 0.0526859504132231 5 0.0684931506849315
"70" "89fda0284e008d2e0c980fb13f99b52b" 1 0.00232018561484919 0 0
"71" "89fda0284e008d2e0c980fb13f950688" 9 0.0181086519114688 0 0
"72" "89fda0284e008d2e0c980fb13f95fe45" 32 0.033160621761658 4 0.0547945205479452
"73" "89fda0284e008d2e0c980fb13f966e31" 27 0.0272727272727273 0 0
"74" "89fda0284e008d2e0c980fb13f99a3ad" 24 0.0246153846153846 1 0.0136986301369863
"75" "89fda0284e008d2e0c980fb13f968eb0" 39 0.0468187274909964 1 0.0136986301369863
"76" "89fda0284e008d2e0c980fb13f985a55" 1 0.00196078431372549 0 0
"77" "89fda0284e008d2e0c980fb13f970282" 14 0.0356234096692112 0 0
"78" "89fda0284e008d2e0c980fb13f99d8c6" 23 0.0295250320924262 2 0.0273972602739726
"79" "89fda0284e008d2e0c980fb13f97b53a" 2 0.00711743772241993 0 0
"80" "89fda0284e008d2e0c980fb13f98fe2e" 5 0.0148367952522255 0 0
"81" "89fda0284e008d2e0c980fb13f9978cb" 9 0.0407239819004525 0 0
"82" "89fda0284e008d2e0c980fb13f972945" 6 0.0120724346076459 1 0.0136986301369863
"83" "89fda0284e008d2e0c980fb13f96e561" 0 0 0 0
"84" "89fda0284e008d2e0c980fb13f975e5c" 2 0.00386847195357834 0 0
"85" "89fda0284e008d2e0c980fb13f95f7a6" 25 0.0212947189097104 6 0.0821917808219178
"86" "70c6ba6f55ed21716fe725c214692ffd" 6 0.00894187779433681 1 0.0136986301369863
"87" "89fda0284e008d2e0c980fb13f989136" 46 0.0543735224586288 4 0.0547945205479452
"88" "89fda0284e008d2e0c980fb13f969126" 49 0.0468899521531101 3 0.0410958904109589
"89" "89fda0284e008d2e0c980fb13f97bafa" 31 0.0266781411359725 3 0.0410958904109589
"90" "89fda0284e008d2e0c980fb13f9a6042" 25 0.0290360046457607 1 0.0136986301369863
"91" "70c6ba6f55ed21716fe725c2146903eb" 13 0.11304347826087 3 0.0410958904109589
"92" "89fda0284e008d2e0c980fb13f98736b" 11 0.00930626057529611 1 0.0136986301369863
"93" "89fda0284e008d2e0c980fb13f955485" 58 0.0785907859078591 2 0.0273972602739726
"94" "89fda0284e008d2e0c980fb13f9735c8" 5 0.00775193798449612 0 0
"95" "70c6ba6f55ed21716fe725c2146966b6" 8 0.0707964601769911 0 0
"96" "89fda0284e008d2e0c980fb13f97d834" 24 0.0298507462686567 1 0.0136986301369863
"97" "89fda0284e008d2e0c980fb13f9b5439" 12 0.0143884892086331 0 0
"98" "89fda0284e008d2e0c980fb13f97583c" 1 0.00141843971631206 0 0
"99" "89fda0284e008d2e0c980fb13f97ae9f" 1 0.00204498977505112 0 0
