"c" "over_count" "over_months" "over_ratio" "nmonths_reporting"
"177" "70c6ba6f55ed21716fe725c21469ace7" "9" "3" "0.2" "5"
"178" "89fda0284e008d2e0c980fb13f95ad0e" "0" "0" "0.333333333333333" "3"
"179" "89fda0284e008d2e0c980fb13f99f90d" "9" "4" "0.142857142857143" "7"
"180" "89fda0284e008d2e0c980fb13f98af77" "48" "5" "0.142857142857143" "7"
"181" "89fda0284e008d2e0c980fb13f958016" "21" "3" "0.25" "4"
"182" "89fda0284e008d2e0c980fb13f9a68f3" "9" "2" "0.166666666666667" "6"
"183" "89fda0284e008d2e0c980fb13f95205a" "8" "3" "0.166666666666667" "6"
"184" "89fda0284e008d2e0c980fb13f97031c" "13" "3" "0.333333333333333" "3"
"185" "89fda0284e008d2e0c980fb13f95623e" "18" "6" "0.142857142857143" "7"
"186" "89fda0284e008d2e0c980fb13f998a68" "4" "2" "0.142857142857143" "7"
"187" "89fda0284e008d2e0c980fb13f95a0fb" "2" "1" "0.25" "4"
"188" "89fda0284e008d2e0c980fb13f98d506" "9" "7" "0.142857142857143" "7"
"189" "89fda0284e008d2e0c980fb13f98ed57" "16" "5" "0.142857142857143" "7"
"190" "89fda0284e008d2e0c980fb13f9692b3" "6" "3" "0.166666666666667" "6"
"191" "89fda0284e008d2e0c980fb13f98d9d7" "8" "2" "0.2" "5"
"192" "89fda0284e008d2e0c980fb13f96114d" "2" "1" "0.333333333333333" "3"
"193" "89fda0284e008d2e0c980fb13f9849f8" "8" "1" "0.25" "4"
"194" "89fda0284e008d2e0c980fb13f9a9d0f" "0" "0" "0.5" "2"
"195" "89fda0284e008d2e0c980fb13f98abea" "15" "4" "0.166666666666667" "6"
"196" "89fda0284e008d2e0c980fb13f98c6e0" "3" "2" "0.2" "5"
"197" "89fda0284e008d2e0c980fb13f9ab153" "8" "1" "1" "1"
"198" "89fda0284e008d2e0c980fb13f98a6d5" "9" "4" "0.166666666666667" "6"
"199" "89fda0284e008d2e0c980fb13f955cb1" "1" "1" "0.25" "4"
"200" "89fda0284e008d2e0c980fb13f96a8a3" "0" "0" "0.2" "5"
"201" "89fda0284e008d2e0c980fb13f96cf64" "0" "0" "0.5" "2"
"202" "89fda0284e008d2e0c980fb13f990df9" "0" "0" "0.5" "2"
"203" "fcd13ae716841026ee760704bb0d7ba4" "0" "0" "0.5" "2"
"204" "70c6ba6f55ed21716fe725c2146982df" "8" "2" "0.25" "4"
"205" "89fda0284e008d2e0c980fb13f9ae796" "11" "4" "0.166666666666667" "6"
"206" "89fda0284e008d2e0c980fb13f96bd60" "0" "0" "1" "1"
"207" "89fda0284e008d2e0c980fb13f993d70" "0" "0" "1" "1"
"208" "89fda0284e008d2e0c980fb13f94e6b6" "4" "1" "0.2" "5"
"209" "89fda0284e008d2e0c980fb13f9a4d8a" "42" "5" "0.2" "5"
"210" "89fda0284e008d2e0c980fb13f9b3322" "51" "3" "0.333333333333333" "3"
"211" "fcd13ae716841026ee760704bb0d92e5" "0" "0" "0.5" "2"
"212" "89fda0284e008d2e0c980fb13f9a0d1f" "0" "0" "0.5" "2"
"213" "fb6e0b19cbe3ef683a10c4c47669d46d" "1" "1" "1" "1"
"214" "89fda0284e008d2e0c980fb13f96fddb" "0" "0" "0.333333333333333" "3"
"215" "89fda0284e008d2e0c980fb13f96a690" "0" "0" "0.333333333333333" "3"
"216" "70c6ba6f55ed21716fe725c214691571" "2" "1" "0.25" "4"
