"chw" "cumulative" "total"
"37" "89fda0284e008d2e0c980fb13f956dab" 170.679668317689 79.5360724888568
"38" "89fda0284e008d2e0c980fb13f957a1e" 983.754747530376 485.789389187195
"39" "89fda0284e008d2e0c980fb13f958016" 236.967562856667 264.829610487069
"40" "89fda0284e008d2e0c980fb13f958239" 659.962380374346 166.84160549352
"41" "89fda0284e008d2e0c980fb13f958a63" 28.9023003313195 21.4819866493677
"42" "89fda0284e008d2e0c980fb13f9597bc" 402.394586827172 39.5006497181521
"43" "89fda0284e008d2e0c980fb13f959c0a" 132.853093250981 73.6919849712567
"44" "89fda0284e008d2e0c980fb13f95a0fb" 78.8365866967614 49.8959399856904
"45" "89fda0284e008d2e0c980fb13f95ad0e" 45.0732090271518 69.6886443795423
"46" "89fda0284e008d2e0c980fb13f95b755" 569.845366975853 181.269102004536
"47" "89fda0284e008d2e0c980fb13f95bb9f" 224.197669203107 126.405257946319
"48" "89fda0284e008d2e0c980fb13f95cb81" 99.3997070626104 135.037499831971
"49" "89fda0284e008d2e0c980fb13f95d481" 585.030030829598 683.598667389862
"50" "89fda0284e008d2e0c980fb13f95dbc7" 133.732106177124 59.6536310723298
"51" "89fda0284e008d2e0c980fb13f95e9b4" 443.600789005763 146.969453015715
"52" "89fda0284e008d2e0c980fb13f95f2b4" 540.213456689816 246.24286966482
"53" "89fda0284e008d2e0c980fb13f95f7a6" 537.31043053771 352.711865421881
"54" "89fda0284e008d2e0c980fb13f95fe45" 584.886201409418 370.57375923064
"55" "89fda0284e008d2e0c980fb13f960194" 290.149779887436 118.259201596895
"56" "89fda0284e008d2e0c980fb13f960ab3" 490.886300154062 185.908610828595
"57" "89fda0284e008d2e0c980fb13f96114d" 93.8376828822046 41.3590171515831
"58" "89fda0284e008d2e0c980fb13f961f23" 706.035721826723 267.208776567004
"59" "89fda0284e008d2e0c980fb13f9623b3" 425.953942564351 98.1628501194507
"60" "89fda0284e008d2e0c980fb13f9628e2" 1165.37461438314 289.11670130057
"61" "89fda0284e008d2e0c980fb13f96372c" 819.739959111953 475.485370897875
"62" "89fda0284e008d2e0c980fb13f96442a" 519.517995531344 184.542768629953
"63" "89fda0284e008d2e0c980fb13f964b7e" 670.277274344888 302.964721914127
"64" "89fda0284e008d2e0c980fb13f964e6a" 601.834530113112 255.256055773157
"65" "89fda0284e008d2e0c980fb13f96554b" 564.854819225304 177.626966044586
"66" "89fda0284e008d2e0c980fb13f966281" 563.304710075525 99.9881784461903
"67" "89fda0284e008d2e0c980fb13f966e31" 425.835069115298 104.197200773233
"68" "89fda0284e008d2e0c980fb13f966efc" 623.380469729075 328.958845254831
"69" "89fda0284e008d2e0c980fb13f967b9f" 101.975459934079 47.5152136019093
"70" "89fda0284e008d2e0c980fb13f96807a" 1147.53080091646 459.67401062251
"71" "89fda0284e008d2e0c980fb13f968eb0" 612.204094762055 136.247155824464
"72" "89fda0284e008d2e0c980fb13f969126" 758.652551644322 427.718004800741
"73" "89fda0284e008d2e0c980fb13f9692b3" 404.904347792266 113.004448158512
"74" "89fda0284e008d2e0c980fb13f96a690" 50.6927138981894 31.9639943668052
"75" "89fda0284e008d2e0c980fb13f96a8a3" 109.613736745197 79.1852656571326
"76" "89fda0284e008d2e0c980fb13f96bd60" 15.8147793817204 13.6954739013194
"77" "89fda0284e008d2e0c980fb13f96c45a" 378.39891327571 121.223857430275
"78" "89fda0284e008d2e0c980fb13f96cf64" 33.4130634145028 36.5161807270065
"79" "89fda0284e008d2e0c980fb13f96de63" 120.69379886246 69.7421495275192
"80" "89fda0284e008d2e0c980fb13f96e561" 41.3398237119407 12.1411201324028
"81" "89fda0284e008d2e0c980fb13f96ef9f" 142.095259167648 141.790981618069
"82" "89fda0284e008d2e0c980fb13f96f087" 86.5767961020621 49.2609092570334
"83" "89fda0284e008d2e0c980fb13f96fddb" 53.2022649818113 15.8667459872704
"84" "89fda0284e008d2e0c980fb13f970282" 306.842345386708 112.849770388621
"85" "89fda0284e008d2e0c980fb13f97031c" 128.505910525215 148.747197602396
"86" "89fda0284e008d2e0c980fb13f970c18" 313.832167698791 316.280917177089
"87" "89fda0284e008d2e0c980fb13f97256b" 198.421038012269 103.045417699822
"88" "89fda0284e008d2e0c980fb13f972945" 185.892273852645 126.98601807884
"89" "89fda0284e008d2e0c980fb13f9735c8" 238.475330737661 48.898888955928
"90" "89fda0284e008d2e0c980fb13f973bdc" 258.66311721816 105.076298517456
"91" "89fda0284e008d2e0c980fb13f97478a" 264.431811640967 157.02062732102
"92" "89fda0284e008d2e0c980fb13f97540b" 34.8850686920851 10.39840541398
