"months" "chw" "score" "rank" "week_mean" "week_sd"
"665" 5 "89fda0284e008d2e0c980fb13f97e56a" 24.4392656952674 100 43.0657701880064 30.4313767579178
"666" 5 "70c6ba6f55ed21716fe725c21469ace7" 24.2861243655361 101 43.0657701880064 30.4313767579178
"667" 5 "fcd13ae716841026ee760704bb0d89b2" 24.261507434047 102 43.0657701880064 30.4313767579178
"668" 5 "89fda0284e008d2e0c980fb13f96f087" 23.8966978498479 103 43.0657701880064 30.4313767579178
"669" 5 "70c6ba6f55ed21716fe725c21469a1e0" 23.6318129629401 104 43.0657701880064 30.4313767579178
"670" 5 "89fda0284e008d2e0c980fb13f98c6e0" 23.6277933009276 105 43.0657701880064 30.4313767579178
"671" 5 "89fda0284e008d2e0c980fb13f9509fd" 23.6100492714913 106 43.0657701880064 30.4313767579178
"672" 5 "89fda0284e008d2e0c980fb13f99a592" 23.4779078860721 107 43.0657701880064 30.4313767579178
"673" 5 "89fda0284e008d2e0c980fb13f96cf64" 23.1614782737878 108 43.0657701880064 30.4313767579178
"674" 5 "89fda0284e008d2e0c980fb13f9735c8" 22.8441957683645 109 43.0657701880064 30.4313767579178
"675" 5 "89fda0284e008d2e0c980fb13f9b5439" 22.4576961811755 110 43.0657701880064 30.4313767579178
"676" 5 "89fda0284e008d2e0c980fb13f997d88" 22.4142581545076 111 43.0657701880064 30.4313767579178
"677" 5 "89fda0284e008d2e0c980fb13f992875" 22.2313386842502 112 43.0657701880064 30.4313767579178
"678" 5 "89fda0284e008d2e0c980fb13f989136" 21.7559769552853 113 43.0657701880064 30.4313767579178
"679" 5 "89fda0284e008d2e0c980fb13f97bafa" 21.0819366583295 114 43.0657701880064 30.4313767579178
"680" 5 "89fda0284e008d2e0c980fb13f9a51a9" 20.8766930818214 115 43.0657701880064 30.4313767579178
"681" 5 "89fda0284e008d2e0c980fb13f96a8a3" 20.7871840881139 116 43.0657701880064 30.4313767579178
"682" 5 "89fda0284e008d2e0c980fb13f967b9f" 20.229631953684 117 43.0657701880064 30.4313767579178
"683" 5 "89fda0284e008d2e0c980fb13f9528e1" 19.954327577267 118 43.0657701880064 30.4313767579178
"684" 5 "89fda0284e008d2e0c980fb13f964b7e" 19.4953659736621 119 43.0657701880064 30.4313767579178
"685" 5 "89fda0284e008d2e0c980fb13f9ae796" 19.3031841008047 120 43.0657701880064 30.4313767579178
"686" 5 "89fda0284e008d2e0c980fb13f976b14" 19.2406512159936 121 43.0657701880064 30.4313767579178
"687" 5 "89fda0284e008d2e0c980fb13f98736b" 18.949262657409 122 43.0657701880064 30.4313767579178
"688" 5 "89fda0284e008d2e0c980fb13f98b956" 18.8871218143025 123 43.0657701880064 30.4313767579178
"689" 5 "89fda0284e008d2e0c980fb13f97dff4" 18.8390334000828 124 43.0657701880064 30.4313767579178
"690" 5 "89fda0284e008d2e0c980fb13f95dbc7" 18.6042690315674 125 43.0657701880064 30.4313767579178
"691" 5 "89fda0284e008d2e0c980fb13f97cb4f" 18.5173621699409 126 43.0657701880064 30.4313767579178
"692" 5 "89fda0284e008d2e0c980fb13f98ed57" 18.0600606740855 127 43.0657701880064 30.4313767579178
"693" 5 "89fda0284e008d2e0c980fb13f9a68f3" 17.6789503451767 128 43.0657701880064 30.4313767579178
"694" 5 "89fda0284e008d2e0c980fb13f95b755" 17.5063804510885 129 43.0657701880064 30.4313767579178
"695" 5 "89fda0284e008d2e0c980fb13f96442a" 17.3544505208699 130 43.0657701880064 30.4313767579178
"696" 5 "89fda0284e008d2e0c980fb13f97d834" 17.1819777326929 131 43.0657701880064 30.4313767579178
"697" 5 "89fda0284e008d2e0c980fb13f960ab3" 16.5402481492266 132 43.0657701880064 30.4313767579178
"698" 5 "89fda0284e008d2e0c980fb13f9866e8" 16.3087086589321 133 43.0657701880064 30.4313767579178
"699" 5 "89fda0284e008d2e0c980fb13f9597bc" 16.2294203809169 134 43.0657701880064 30.4313767579178
"700" 5 "89fda0284e008d2e0c980fb13f975e5c" 15.859621230309 135 43.0657701880064 30.4313767579178
"701" 5 "89fda0284e008d2e0c980fb13f9a6042" 15.0714427156291 136 43.0657701880064 30.4313767579178
