                                 chw                            question       score            x2
198 89fda0284e008d2e0c980fb13f987fd5 form.bp2.not_yet_maternal_emergency  0.53110656   0.293550800
201 89fda0284e008d2e0c980fb13f9a68f3 form.bp2.not_yet_maternal_emergency  0.53110656   0.293550800
119 70c6ba6f55ed21716fe725c2146903eb form.bp2.not_yet_maternal_emergency  0.50514998   0.269875800
188 89fda0284e008d2e0c980fb13f99f651 form.bp2.not_yet_maternal_emergency  0.50514998   0.269875800
17  70c6ba6f55ed21716fe725c21469d627 form.bp2.not_yet_maternal_emergency  0.49703425   0.262610800
190 fcd13ae716841026ee760704bb0da4a8 form.bp2.not_yet_maternal_emergency  0.49703425   0.262610800
197 89fda0284e008d2e0c980fb13f954d49 form.bp2.not_yet_maternal_emergency  0.49703425   0.262610800
206 89fda0284e008d2e0c980fb13f97256b form.bp2.not_yet_maternal_emergency  0.49703425   0.262610800
101 89fda0284e008d2e0c980fb13f95f7a6 form.bp2.not_yet_maternal_emergency  0.49112530   0.257363300
66  89fda0284e008d2e0c980fb13f95f2b4 form.bp2.not_yet_maternal_emergency  0.46952375   0.238488400
35  89fda0284e008d2e0c980fb13f9ad330 form.bp2.not_yet_maternal_emergency  0.46360003   0.233398700
51  89fda0284e008d2e0c980fb13f979bb8 form.bp2.not_yet_maternal_emergency  0.46360003   0.233398700
182 89fda0284e008d2e0c980fb13f959c0a form.bp2.not_yet_maternal_emergency  0.46360003   0.233398700
211 89fda0284e008d2e0c980fb13f98f9d5 form.bp2.not_yet_maternal_emergency  0.46360003   0.233398700
105 89fda0284e008d2e0c980fb13f968eb0 form.bp2.not_yet_maternal_emergency  0.44784414   0.220046800
108 89fda0284e008d2e0c980fb13f966efc form.bp2.not_yet_maternal_emergency  0.44784414   0.220046800
15  89fda0284e008d2e0c980fb13f975e5c form.bp2.not_yet_maternal_emergency  0.43079911   0.205913400
93  89fda0284e008d2e0c980fb13f98c6e0 form.bp2.not_yet_maternal_emergency  0.43079911   0.205913400
160 89fda0284e008d2e0c980fb13f97bdf2 form.bp2.not_yet_maternal_emergency  0.43079911   0.205913400
189 89fda0284e008d2e0c980fb13f98e475 form.bp2.not_yet_maternal_emergency  0.40181173   0.182648800
151 89fda0284e008d2e0c980fb13f99fa39 form.bp2.not_yet_maternal_emergency  0.39862657   0.180153600
167 89fda0284e008d2e0c980fb13f9900d3 form.bp2.not_yet_maternal_emergency  0.39862657   0.180153600
